gene,C1,C2,C3,C4,C5,T1,T2,T3,T4,T5
FAM3A,9.805704772,9.534769046,7.27337693,11.60544405,11.13924289,13.09869516,14.4281155,18.58817839,12.09219681,9.180588407
FAM3C,19.69935308,20.82709921,33.6228379,26.95148576,15.87848441,19.63000046,16.85982036,36.84709757,100.4873182,34.50885207
FAM3D,0.483689473,6.151463901,16.99325337,75.64319729,58.45064543,76.06625178,89.3246252,67.9471255,0,13.19029204
FAM43A,3.781572244,2.943914867,6.479917628,9.015799508,8.344305584,4.005386123,3.039631075,2.394612353,3.342794791,2.521940294
FAM45A,7.220604397,7.445907661,5.518178834,20.41886763,10.39190096,11.25730008,11.94534484,11.14662117,12.95114973,11.44579881
FAM46A,21.72205452,23.68313602,16.96019257,46.61360171,26.41013224,27.67685726,25.69501469,11.31454337,16.65583839,17.41771713
FAM46B,22.3376593,33.21790506,1.950587449,0.703360245,1.984810552,1.515551506,0.405284143,0.119730618,0.988304547,0.072573821
FAM46C,4.177318176,10.85293988,65.36120996,95.94473165,40.6278568,42.47152673,48.59356879,16.37316196,15.4349916,22.82446683
FAM47E-STBD1,0.684200745,2.209254321,1.177295239,0.956889643,3.191089291,1.443382387,1.305420226,2.037515785,1.483038176,0.481527305
FAM49A,13.23550285,14.85139142,13.88553778,5.083376319,8.101267558,6.675643538,3.931256191,1.047642904,6.918131828,2.394936106
FAM49B,6.33193492,7.381756681,43.34271434,19.82197055,12.51645838,13.02652604,11.14531394,12.03292707,30.57930539,57.75061838
FAM50A,11.56457558,13.92867183,15.43939557,10.19872356,10.57215416,8.62420976,11.0237287,23.34747044,17.7022785,10.37805646
FAM50B,3.385826311,2.109073337,2.479560317,1.31080773,0.972152107,1.08253679,0.770039872,0.239461235,0.930168985,4.191138186
FAM53B,29.98874733,29.57096575,66.98118936,25.06520147,23.69620761,21.32597476,24.84391799,27.5081094,19.24287088,12.19240199
FAM53C,24.66816312,24.73767269,14.48063225,9.015799508,15.7569654,9.851084789,9.402592126,10.11723719,12.58634908,12.66413183
FAM57A,1.58298373,1.669683059,1.091006539,4.859579877,1.984810552,2.489834617,3.120687904,6.106261499,7.092538513,3.66497798
FAM58A,2.550362676,3.29542709,5.190546264,4.284103312,2.430380267,3.933217004,2.877517418,9.937641263,5.261268323,4.95316331
