circRNA,C1,C2,C3,C4,C5,T1,T2,T3,T4,T5
hsa_circ_0110152,0.340091708,0.219641355,0.026173861,0.040538883,0.212780379,0.133650443,0,0,0.135333081,0.049973448
hsa_circ_0110153,0.029573192,0.021964136,0.104695445,0.081077766,0.070926793,0.033412611,0,0.209227106,0.270666163,0.074960172
hsa_circ_0013308,0.029573192,0.043928271,0.052347722,0.081077766,0.10639019,0.066825221,0,0.15692033,0.135333081,0.149920344
hsa_circ_0110154,0.133079364,0.131784813,0.052347722,0.202694415,0.141853586,0.066825221,0.104961621,0.261533883,0.090222054,0.149920344
hsa_circ_0110155,0.428811284,0.241605491,0.340260196,0.081077766,0.283707172,0,0.104961621,0.261533883,0.360888217,0.224880515
hsa_circ_0110156,0.207012344,0.131784813,0.130869306,0,0,0.100237832,0.052480811,0,0,0
hsa_circ_0110157,0.029573192,0.087856542,0.104695445,0,0,0.300713497,0,0,0,0
hsa_circ_0013309,0.07393298,0.043928271,0.157043167,0.081077766,0,0.267300886,0.157442432,0.31384066,0.225555136,0.099946896
hsa_circ_0110158,0.192225748,0.087856542,0.20939089,0.040538883,0.035463397,0.033412611,0.157442432,0.104613553,0.090222054,0.099946896
hsa_circ_0110159,0.059146384,0.087856542,0.130869306,0.162155532,0.035463397,0.133650443,0.157442432,0.209227106,0.090222054,0.12493362
hsa_circ_0110160,0.014786596,0.043928271,0.104695445,0,0,0.167063054,0.052480811,0.15692033,0.135333081,0.024986724
hsa_circ_0110161,0.29573192,0.087856542,0.052347722,0.121616649,0.212780379,0.167063054,0.262404053,0.209227106,0.135333081,0.049973448
hsa_circ_0110162,0,0,0,1.175627608,0.390097362,0.434363939,0.94465459,0.575374543,0.090222054,0.249867239
hsa_circ_0110163,0,0,0,0.283772181,0.141853586,0.167063054,0.104961621,0.104613553,0,0.224880515
hsa_circ_0110164,0.310518516,0.131784813,0.287912473,0.202694415,0.390097362,0.267300886,0.419846485,0.209227106,0.135333081,0.074960172
hsa_circ_0013310,0.14786596,0.065892407,0.314086335,0.283772181,0.070926793,0.233888275,0.104961621,0.209227106,0.045111027,0.12493362
hsa_circ_0110165,0.754116396,0.63695993,0.026173861,0,0.141853586,0.233888275,0.052480811,0,0,0
hsa_circ_0110166,0.29573192,0.395354439,0.026173861,0,0,0.133650443,0.104961621,0,0,0
hsa_circ_0110167,0.354878304,0.593031659,0.261738612,0,0.070926793,0.100237832,0.262404053,0,0.135333081,0
hsa_circ_0013311,0.473171072,0.373390304,0.157043167,0.608083246,0.177316983,0.367538718,0.104961621,0.31384066,0.451110271,0.499734479
hsa_circ_0110168,0.044359788,0.175713084,0.235564751,0.121616649,0.177316983,0.033412611,0.052480811,0.052306777,0.045111027,0.049973448
hsa_circ_0009682,0.22179894,0.263569626,0.20939089,0.081077766,0.177316983,0.066825221,0.104961621,0,0.090222054,0.074960172
hsa_circ_0110169,0.14786596,0.065892407,0.104695445,0.040538883,0.10639019,0.167063054,0.052480811,0,0.090222054,0.074960172
hsa_circ_0110170,0.088719576,0.087856542,0,0.081077766,0.248243776,0.066825221,0.052480811,0.052306777,0.045111027,0.024986724
hsa_circ_0013312,0,0,0.130869306,0.243233298,0.070926793,0.066825221,0.157442432,0.052306777,0.090222054,0.099946896
hsa_circ_0110171,0,0.021964136,0.104695445,0,0,0.066825221,0,0.052306777,0.090222054,0.149920344
hsa_circ_0013313,0.059146384,0.109820678,0.183217029,0.040538883,0.035463397,0.133650443,0.052480811,0.261533883,0.360888217,0.074960172
hsa_circ_0013314,0.07393298,0,0.130869306,0,0,0.066825221,0.052480811,0.209227106,0.045111027,0.099946896
hsa_circ_0013315,0.088719576,0,0,0.162155532,0.10639019,0,0.104961621,0,0.045111027,0.049973448
hsa_circ_0013316,0.014786596,0.065892407,0.130869306,0.162155532,0,0.066825221,0,0.209227106,0.135333081,0.174907068
hsa_circ_0013317,0,0.065892407,0.235564751,0.202694415,0.10639019,0.066825221,0.052480811,0.31384066,0.135333081,0.074960172
hsa_circ_0013318,0.059146384,0.065892407,0.026173861,0,0.141853586,0,0,0,0.090222054,0.099946896
hsa_circ_0013319,0.088719576,0.153748949,0,0.040538883,0.035463397,0,0,0,0.045111027,0.074960172
hsa_circ_0013320,0.059146384,0.065892407,0.026173861,0.040538883,0.141853586,0.267300886,0.157442432,0.052306777,0.180444109,0.074960172
hsa_circ_0110172,0.340091708,0.241605491,0.811389698,0.810777661,0.567414345,0.868727879,1.259539454,0.732294872,0.766887461,0.524721203
